video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,rel_error_%,fish_dist_from_camera,unique_track,especie_gt,gt,failure_reason,abs_error_cm
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_63,0,255,2,1,True,False,True,3.9455294294671206,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_64,0,255,2,1,True,False,True,3.959130750692795,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_65,0,255,2,1,True,False,True,3.734891161844086,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_66,0,255,2,1,True,False,True,3.760710555365175,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_67,0,255,2,1,True,False,True,3.93014858207112,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_69,0,255,2,1,True,False,True,3.90335020450567,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_70,0,255,2,1,True,False,True,3.9204929605688665,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_71,0,255,2,1,True,False,True,3.916405873002768,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_72,0,255,2,1,True,False,True,3.7944612754924254,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_73,0,255,2,1,True,False,True,3.977284205706297,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_74,0,255,2,1,True,False,True,4.070583218892795,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_75,0,255,2,1,True,False,True,4.211816379373291,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_76,0,255,1,1,False,False,True,3.2331931551910884,True,True,[],[    0.09741    0.093304     0.99086],16.884738622950113,-9.390883678544984,0.5700187612730889,0.2468854185498613,0.2478156797253363,26.302860134369755,1.7463920751871225,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,5.811458145013869
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_76,0,127,2,1,True,False,True,3.89595292657773,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_77,0,255,2,1,True,False,True,3.745974052152658,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_78,0,255,1,1,False,False,True,3.1749861964982413,True,True,[],[    0.12994      0.1013     0.98633],18.378696719201027,-8.440122963759954,0.5727899745346499,0.2436435072517904,0.2457248039211394,27.270594850211825,1.7465045570937636,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,6.13564927482096
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_78,0,127,2,1,True,False,True,4.000334450336414,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_79,0,255,1,1,False,False,True,3.158682995254273,True,True,[],[    0.18686     0.09066     0.97819],19.84931768216445,-6.786177029232552,0.5875598508029545,0.2422381080109529,0.2440575552784443,27.69011701165585,1.7460553165634172,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,6.27618919890471
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_79,0,127,2,1,True,False,True,3.76636481028694,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_80,0,255,2,1,True,False,True,3.881979036577434,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
